avg_wage_ft,avg_wage_ft_moe,geo,num_ppl,num_ppl_moe,sex,soc,year
68444.1,17428.1,04000US01,251,135.249,1,191020,2016
45563.7,8630.1,04000US01,582,418.141,2,191020,2016
64602.2,7953.98,04000US01,578,215.159,1,191030,2016
54751.5,7.08093e-12,04000US01,9,15.5189,2,191030,2016
61299.1,27345.6,04000US01,480,205.674,1,1910XX,2016
59128.0,6218.48,04000US01,561,221.599,2,1910XX,2016
75513.2,16574.3,04000US01,181,161.702,1,192010,2016
59176.4,18093.9,04000US01,54,76.7212,2,192010,2016
74632.6,20746.9,04000US01,88,71.7492,1,192021,2016
79144.3,23060.1,04000US01,662,268.334,1,192030,2016
58032.2,7248.75,04000US01,262,151.945,2,192030,2016
62445.2,8114.94,04000US01,524,201.761,1,192040,2016
48915.4,9633.04,04000US01,207,120.466,2,192040,2016
101437.0,19143.0,04000US01,880,260.919,1,192099,2016
53064.8,14957.6,04000US01,364,159.667,2,192099,2016
75125.8,36767.5,04000US01,125,112.245,1,193011,2016
68356.8,11861.0,04000US01,35,38.6942,2,193011,2016
107905.0,41868.0,04000US01,403,129.323,1,193030,2016
93677.6,54044.2,04000US01,519,219.397,2,193030,2016
73435.1,8974.71,04000US01,41,49.9455,1,193051,2016
66514.9,18332.1,04000US01,48,56.0243,2,193051,2016
84919.7,47571.7,04000US01,58,56.6021,1,1930XX,2016
54558.6,24051.5,04000US01,166,109.307,2,1930XX,2016
33415.0,5281.29,04000US01,283,227.986,1,194011,2016
34495.6,13199.9,04000US01,129,73.7641,2,194011,2016
21582.8,2121.27,04000US01,72,67.8331,1,194021,2016
48232.5,8994.83,04000US01,60,64.9275,2,194021,2016
69860.6,15838.7,04000US01,1074,381.982,1,194031,2016
47559.2,11319.4,04000US01,443,202.514,2,194031,2016
76191.3,20216.1,04000US01,187,99.674,1,1940XX,2016
50261.2,8280.35,04000US01,1472,307.235,1,1940YY,2016
39042.5,12253.0,04000US01,741,254.164,2,1940YY,2016
52904.6,5967.21,04000US01,2621,576.39,1,211010,2016
43521.3,2332.68,04000US01,6413,795.459,2,211010,2016
35892.6,5232.52,04000US01,1109,320.739,1,211020,2016
40826.6,3002.22,04000US01,8127,913.195,2,211020,2016
57170.2,12685.0,04000US01,467,216.423,1,211092,2016
45255.3,11086.8,04000US01,365,187.055,2,211092,2016
34991.2,13925.7,04000US01,217,142.831,1,211093,2016
41384.5,14158.5,04000US01,986,270.004,2,211093,2016
64796.8,13832.9,04000US01,360,185.384,1,21109X,2016
