avg_wage_ft,avg_wage_ft_moe,geo,num_ppl,num_ppl_moe,sex,soc,year
64769.1,5713.28,04000US53,3663,487.758,2,292030,2014
60249.4,10217.6,04000US53,2795,447.105,1,292041,2014
52378.9,7445.67,04000US53,878,248.035,2,292041,2014
57248.5,13654.1,04000US53,1910,392.685,1,292050,2014
38852.9,1777.84,04000US53,7741,728.17,2,292050,2014
52265.1,7197.68,04000US53,1298,285.308,1,292061,2014
47171.7,4473.15,04000US53,8253,793.991,2,292061,2014
45856.6,11869.3,04000US53,523,246.803,1,292071,2014
39674.6,4663.74,04000US53,2697,403.848,2,292071,2014
41908.7,6833.78,04000US53,417,221.107,1,292081,2014
34623.3,4377.4,04000US53,994,309.553,2,292081,2014
72862.1,17288.4,04000US53,875,237.044,1,292090,2014
44931.7,7052.66,04000US53,1750,400.581,2,292090,2014
67690.2,6872.5,04000US53,1359,376.505,1,299000,2014
64969.9,8338.49,04000US53,1069,260.988,2,299000,2014
37323.1,5700.4,04000US53,5466,729.874,1,311010,2014
29592.4,1488.79,04000US53,29401,1727.22,2,311010,2014
38347.7,1303.27,04000US53,43,43.0491,1,312010,2014
40638.8,7156.13,04000US53,349,165.856,2,312010,2014
33335.4,6523.45,04000US53,537,236.847,1,312020,2014
39009.6,5991.43,04000US53,952,225.925,2,312020,2014
28638.6,5014.4,04000US53,705,255.77,1,319011,2014
38239.6,5046.08,04000US53,2954,482.007,2,319011,2014
61954.8,35262.2,04000US53,434,206.926,1,319091,2014
32933.7,1796.64,04000US53,8700,951.222,2,319091,2014
35154.2,3156.21,04000US53,1117,331.639,1,319092,2014
31850.2,1289.66,04000US53,9659,1045.15,2,319092,2014
35012.4,0.0,04000US53,56,64.9077,1,319094,2014
32904.3,6392.51,04000US53,1464,399.645,2,319094,2014
58432.6,23332.5,04000US53,279,170.153,1,319095,2014
31084.4,4276.79,04000US53,1325,400.965,2,319095,2014
35201.9,10303.4,04000US53,300,173.013,1,319096,2014
23274.5,2406.51,04000US53,1599,432.354,2,319096,2014
34936.1,7592.78,04000US53,311,178.281,1,319097,2014
34118.5,3528.11,04000US53,1748,490.197,2,319097,2014
62501.9,4975.55,04000US53,1161,306.587,1,331011,2014
